GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,location,ntc_temp,sensor_temp,Result
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:07:233,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,MODE100_PreStream,35.45572340647157716376,35.98426496165945565053,1
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:13:353,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,MODE100_PstCapture,39.02814460005527052999,40.24105643930131037678,1
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:13:423,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,BescPre,39.03495196471953931905,40.34362972791918622306,1
T240814010559091VCMCT9009T0,'20240814011005,2024-08-14 01:10:14:703,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_A_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,BescPost,39.61056082788212506784,40.34362972791918622306,1
