GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,T_combined_msec_1st,Bz_combined_DAC_1st,APS_E_1st,APS_W_1st,NTC_1st,Laser_1_1st,Laser_2_1st,T_combined_msec_2nd,Bz_combined_DAC_2nd,APS_E_2nd,APS_W_2nd,NTC_2nd,Laser_1_2nd,Laser_2_2nd,T_combined_msec_3rd,Bz_combined_DAC_3rd,APS_E_3rd,APS_W_3rd,NTC_3rd,Laser_1_3rd,Laser_2_3rd,aps_bottom_endStop_aps_dac
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,10,-122,5389,5389,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,10,-122,6224,6224,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,10,-122,6336,6336,42.75159669285380914516,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,11,-134,6125,6125,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,11,-134,7004,7004,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,11,-134,7113,7113,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,12,-147,6890,6890,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,12,-147,7780,7780,42.64406439650429092580,0.00000000000000000000,0.00000000000000000000,12,-147,7902,7902,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,13,-159,7691,7691,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,13,-159,8579,8579,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,13,-159,8704,8704,42.75159669285380914516,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:155,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,14,-171,8442,8442,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,14,-171,9373,9373,42.63611850248616974568,0.00000000000000000000,0.00000000000000000000,14,-171,9447,9447,42.75159669285380914516,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:155,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,15,-183,9217,9217,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,15,-183,10148,10148,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,15,-183,10222,10222,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:155,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,16,-196,9944,9944,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,16,-196,10921,10921,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,16,-196,11028,11028,42.75159669285380914516,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:155,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,17,-208,10735,10735,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,17,-208,11677,11677,42.64406439650429092580,0.00000000000000000000,0.00000000000000000000,17,-208,11816,11816,42.74760526562829454633,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:155,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,18,-221,11520,11520,42.56472565929391294048,0.00000000000000000000,0.00000000000000000000,18,-221,12483,12483,42.64406439650429092580,0.00000000000000000000,0.00000000000000000000,18,-221,12631,12631,42.75159669285380914516,0.00000000000000000000,0.00000000000000000000,-230
T240814010559091VCMCT9009T0,'20240814010759,2024-08-14 01:08:39:155,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro200_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,19,-222,12184,12184,42.56076572041052941131,0.00000000000000000000,0.00000000000000000000,19,-222,13149,13149,42.64009111493652426361,0.00000000000000000000,0.00000000000000000000,19,-222,13283,13283,42.74361451320902460793,0.00000000000000000000,0.00000000000000000000,-230
