GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,step_count,sweep_seg,sweep_seg_step_count,option,Sensor Temp,Driver Temp,APS,AFcode,score,sfr_PFL,sfr_EFL,sfr_ny8,sfr_ny4,sfr_ny2,sfr_acc,sfr_ny8_maxmin,sfr_ny4_maxmin,sfr_ny2_maxmin,sfr_acc_maxmin,sfr_left_x,sfr_left_y,sfr_right_x,sfr_right_y,sfr_top_x,sfr_top_y,sfr_bottom_x,sfr_bottom_y
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:26:069,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,1,1,0,36.90742455922033826710,42.78125000000000000000,5091,-220,0.02486357038768801167,2.66129595537269247885,2.65943344498565981127,0.07769478152790973424,0.02486357038768801167,0.01113643706566780182,0.04969095462288846549,0.03358429419019239026,0.01831151114740588171,0.00531298249633498088,0.00099672514327375089,2099.45876418663283402566,2440.73947036570007185219,2805.17559153175579922390,2440.33175591531744430540,2452.01081488933596119750,2087.54678068410476043937,2452.16036081182664929656,2793.25457278877456701593
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:27:229,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,1,2,0,36.75356462629352449767,44.12109375000000000000,2649,-180,0.06777081489968082850,2.67194429302074887289,2.67006685357564466088,0.32170955460576999840,0.06777081489968082850,0.01803330262068956330,0.06765161604910088777,0.07711603138786460310,0.07202651735780971065,0.01552209563029438577,0.00363419122443082998,2098.08627858627869500197,2440.72245322245316856424,2806.61860704189166426659,2440.40966332562311436050,2452.04115655118539507384,2086.18624641833821442560,2452.24942263279444887303,2794.72594303310233954107
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:28:439,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,3,1,3,0,37.98444408970803465309,44.51953125000000000000,213,-140,0.36095284858416010199,2.68376865663006425322,2.68187456954828329359,0.72395575020147684420,0.36095284858416010199,0.05008416843522484063,0.12224663578298747280,0.05322069769410608941,0.12489939546588180175,0.03492167808863559653,0.01784151535003578037,2096.41406041165464557707,2440.76851109329072642140,2808.13285600636436356581,2440.41394855475982694770,2452.00373432915421290090,2084.65137369965304969810,2452.15380521554016013397,2796.27567855242159566842
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:29:629,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,4,1,4,0,38.70245711003316557708,44.48046875000000000000,-2096,-100,0.64692646910666384841,2.69635362060338978907,2.69444173435971956465,0.86184523894587838910,0.64692646910666384841,0.28145983310080502360,0.20205227786858148686,0.01705304551947717240,0.03484715454388687128,0.08242102403314718884,0.02470025180353968564,2094.74899973326228064252,2440.79381168311556393746,2809.76734258271062572021,2440.41168623265730275307,2451.87393390191891739960,2082.99893390191891739960,2452.08718908799164637458,2797.99812784166897472460
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:30:809,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,5,1,5,0,39.36918348604935857793,44.22656250000000000000,-4282,-60,0.10745257074647951434,2.70935050771535301806,2.70742015240889832839,0.56437607197983685747,0.10745257074647951434,0.02370295941915752380,0.08911849702502749881,0.07232116603996496806,0.08721326803687648455,0.01682631969543956982,0.01272399306160762467,2093.12047264320563044748,2440.82301566914975410327,2811.59230769230771329603,2440.50564102564112545224,2451.95287824758042916073,2081.42002037697420746554,2452.14775657555446741753,2799.85869004641563151381
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:31:959,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,6,1,6,0,39.57433006328511027050,43.69531250000000000000,-6289,-20,0.04222676551463284966,2.72220427561906408442,2.72025556737267493190,0.16489673987589770210,0.04222676551463284966,0.00870835117516184642,0.05875830364969680808,0.04951373255297375486,0.01592387403874958446,0.01159403634672588265,0.00279359157205105735,2091.50085595500104318489,2440.97529958425047880155,2813.35481499632442137226,2440.60034305317321923212,2451.96690365285621737712,2079.76611914684963267064,2452.24473297403255855897,2801.63963743263093419955
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:33:169,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,7,1,7,0,39.77947664052086196307,43.66015625000000000000,-8110,20,0.06055076306745098974,2.73437705211456538734,2.73241088326820813492,0.07156566239411554786,0.06055076306745098974,0.01128737652729409902,0.04662930095786728402,0.00897295429455881310,0.00450063699274462492,0.01161061703463493397,0.00120843090103815720,2089.93443008225631274399,2441.00094007050529398839,2815.00966525223930148059,2440.63932107496475509834,2451.99040262172275106423,2078.26170411985003738664,2452.12156125088176850113,2803.36985657183186049224
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:34:369,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,8,1,8,0,39.88204992913873780935,44.34375000000000000000,-9765,60,0.01484881139311120500,2.74627906646249586586,2.74429575015438231844,0.03583485976443653853,0.01484881139311120500,0.00605132444097117479,0.03943894243766375013,0.02624037729493975540,0.02218561964152869145,0.00509581804985914134,0.00071321602491739716,2088.34199328107524706866,2440.98029115341523720417,2816.48929939175468462054,2440.79612525343554807478,2451.91538808664245152613,2076.71322202166084025521,2452.14518686296696614590,2805.06160815402017760789
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:35:579,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,1,1,1,40.13848315068342742507,45.86328125000000000000,-47,-137,0.45607150240876631608,2.68542857231225973180,2.68353214234126991045,0.77000785861175646829,0.45607150240876631608,0.10537344790807573469,0.14253116141758409574,0.04800322281484015186,0.11007595171142614543,0.09231925307585103768,0.02930384632652471844,2096.22192441704646626022,2440.68507102653438778361,2808.27149321266961123911,2440.30396593026353002642,2451.95533565124378583278,2084.26076491040385008091,2452.11770972037265892141,2796.43462050599191570655
T240814010559091VCMCT9009T0,'20240814010920,2024-08-14 01:09:36:779,VCMCT9009T01,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRInfinity_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,1,2,1,40.34362972791918622306,46.29296875000000000000,-581,-127,0.56803287550918313276,2.68806367892958020249,2.68616352666334590182,0.82413753619824281493,0.56803287550918313276,0.20863266505666033801,0.17648372486620383937,0.03250062704663247981,0.08250874189993806507,0.10434898772127573774,0.03341786684304365318,2095.81155913978500393569,2440.64166666666687888210,2808.66996788008555085980,2440.38570663811560734757,2451.94937047950725172996,2083.99892847575665655313,2452.11614806866964499932,2796.76153433476383725065
