GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,total_steps,segment,segment_steps,option,Sensor Temp,Driver Temp,APS,AFcode,score,score_delta,sfr_PFL,sfr_EFL,sfr_ny8,sfr_ny4,sfr_ny2,sfr_acc,sfr_ny8_maxmin,sfr_ny4_maxmin,sfr_ny2_maxmin,sfr_acc_maxmin,sfr_left_x,sfr_left_y,sfr_right_x,sfr_right_y,sfr_top_x,sfr_top_y,sfr_bottom_x,sfr_bottom_y
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:44:424,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,1,1,1,1,41.11292939255325507020,45.91015625000000000000,-2926,68,0.57599684605649326130,0.00000000000000000000,2.75327520395309477408,2.73445344677467261363,0.81902764673022321329,0.57599684605649326130,0.22434775852929078610,0.17494898505466674465,0.03808685886501605999,0.07675730558924975799,0.09267525547699806410,0.02659988181385980477,2090.93555840821545643848,2437.42464698331195904757,2818.53205128205127039109,2436.95102564102580799954,2454.46820512820522708353,2073.11999999999989086064,2455.00411628505253247567,2800.99536917931573043461
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:45:754,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,2,1,2,1,41.36936261409794468591,46.14843750000000000000,-3415,77,0.65235176415276652229,0.07635491809627326099,2.75626992177990182142,2.73740733800638569306,0.85053195947954618461,0.65235176415276652229,0.30099090762674124422,0.20103315828611467708,0.02271849746319198893,0.04553672646467354923,0.03747175909175548547,0.01104643937222682393,2090.53557667608538395143,2437.44438736193160366383,2818.92480041205271845683,2436.95390162245666942908,2454.45512820512840335141,2072.72410256410239526303,2454.93780519146730512148,2801.38987406836304216995
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:46:994,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,3,1,3,1,41.47193590271582053219,46.33203125000000000000,-3736,83,0.67720464229460741734,0.02485287814184089505,2.75826896778697827628,2.73937910683352070507,0.86101311408919189994,0.67720464229460741734,0.31086540094746561991,0.20648806545332873408,0.01654249176326139104,0.02719707308017360603,0.01423139147968927043,0.00897836073447499938,2090.29378531073461999767,2437.40138674884428837686,2819.25879332477552452474,2436.92297817715007113293,2454.46311475409856939223,2072.46875000000000000000,2454.92135697764069846016,2801.61552300179891972221
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:48:244,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,4,1,4,1,41.57450919133369637848,46.55468750000000000000,-4058,89,0.65216068986097297522,-0.02504395243363444212,2.76026599881513901025,2.74134886863269633395,0.86196672737188850810,0.65216068986097297522,0.28757268711755951118,0.19878704282106524071,0.00243421416380207312,0.03697896186906213245,0.06756495975618148631,0.02032907784496598702,2090.01814928425346806762,2437.41283231083843929810,2819.45519713261637662072,2436.92114695340478647267,2454.47661640684873418650,2072.21339125990289176116,2454.92688558234976881067,2801.94381734222679369850
T240814010559091VCMCT9009T0,'20240814010718,2024-08-14 01:07:49:444,VCMCT9009T02,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_SFRMacro400_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,5,1,5,1,41.93351570149626184048,46.85937500000000000000,-4389,95,0.60812425780309520285,-0.04403643205787777237,2.76196659458072391047,2.74302622755928027232,0.84176199475287305507,0.60812425780309520285,0.23569202786429399588,0.18191207860813785047,0.03683087156015407704,0.06162313877232172832,0.10340567887786647483,0.02901345726381115986,2089.78728294177744828630,2437.43667007150133940740,2819.70628834355829894776,2436.93481595092043789919,2454.46396740514410339529,2071.97198879551797290333,2454.92122762148346737376,2802.11943734015358131728
