GlobalTime,SiteTime,time,station,site,moduleConfig,inputParameterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,FdrID,BIN,X,Y,Difference,Difference_neg
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,3933,40,11.00000000000000000000,11.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1752,46,97.00000000000000000000,97.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,2178,46,85.00000000000000000000,85.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,4350,53,29.00000000000000000000,29.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,301,57,34.00000000000000000000,34.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1709,61,11.00000000000000000000,-11.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1080,62,30.00000000000000000000,30.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,490,64,12.00000000000000000000,12.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1385,70,37.00000000000000000000,37.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,4354,74,38.00000000000000000000,38.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1428,76,19.00000000000000000000,19.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,4689,77,15.00000000000000000000,15.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,2157,78,82.00000000000000000000,82.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,180,79,26.00000000000000000000,26.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,2827,80,16.00000000000000000000,16.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,3471,85,141.00000000000000000000,141.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,173,92,24.00000000000000000000,24.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,686,92,11.00000000000000000000,11.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,1471,92,32.00000000000000000000,32.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,3615,94,33.00000000000000000000,33.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,3776,95,34.00000000000000000000,34.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,223,96,29.00000000000000000000,29.00000000000000000000
T240814010559091VCMCT9009T0,'20240814010841,2024-08-14 01:09:05:145,VCMCT9009T03,S7,C5027,240808A,EPSSWEXCEPTION_POR_F52_UDT_CUBE_MFG_Dark_C5027_2d105e6_24080900,VTY0H0NQ83A2,GCFUDPNP08142024010534472,0914010000ca3803013aca3803069254,0x911024667874b106,LC1E3011038VB232012,,,,DP,4837,96,15.00000000000000000000,15.00000000000000000000
